@;0;3832
@N_nuN;3832;20228
@_b@;24060;17528
@_be;41588;19607
@_bh@;61195;18640
@_bh_@;79835;10240
@_bh_i;90075;12230
@_c;102305;13422
@_c@;115727;17024
@_ce;132751;9551
@_chu;142302;19896
@_ch_a;162198;11989
@_co;174187;17498
@_d;191685;10844
@_d@;202529;16656
@_dhe;219185;20761
@_dh_@;239946;10721
@_dh_y_@;250667;10002
@_dj@;260669;16736
@_dje;277405;20816
@_djh@;298221;18800
@_dj_u;317021;6929
@_d_a;323950;8196
@_d~e;332146;19248
@_d~_e;351394;6961
@_gh@;358355;16352
@_ghu;374707;22124
@_gh_@;396831;8896
@_g_a;405727;9337
@_h;415064;14705
@_h@;429769;16416
@_hu;446185;17323
@_h_a;463508;6849
@_h_e;470357;8283
@_i;478640;5092
@_k@;483732;17784
@_kh@;501516;15120
@_khe;516636;19392
@_khi;536028;21425
@_khu;557453;20685
@_kh_a;578138;8989
@_ki;587127;20856
@_kshi;607983;28021
@_k_e;636004;9344
@_l;645348;13440
@_l@;658788;18048
@_li;676836;17598
@_l_a;694434;4108
@_l~;698542;5473
@_l~@;704015;11808
@_l~u;715823;15612
@_m;731435;16057
@_m@N;747492;16096
@_mai;763588;6093
@_me;769681;18432
@_m_@;788113;8240
@_n;796353;14211
@_n@;810564;13744
@_ne;824308;17702
@_ni;842010;15732
@_no;857742;14667
@_nuN;872409;18239
@_n_a;890648;11493
@_n~@;902141;17408
@_n~_e;919549;18045
@_p@;937594;18680
@_ph@;956274;18456
@_phi;974730;19883
@_p_@;994613;9321
@_p_a;1003934;10627
@_p_i;1014561;7528
@_r;1022089;17087
@_r@;1039176;18272
@_re;1057448;19171
@_ri;1076619;7530
@_ro;1084149;8209
@_ru;1092358;17706
@_r_@;1110064;6880
@_r_a;1116944;4361
@_r_d_i;1121305;11123
@_r_i;1132428;5379
@_s;1137807;13761
@_se;1151568;22496
@_sh@;1174064;19680
@_shi;1193744;19068
@_sh_@;1212812;9265
@_si;1222077;18612
@_t;1240689;14777
@_te;1255466;25830
@_th@;1281296;16672
@_the;1297968;19121
@_thi;1317089;15650
@_tho;1332739;24086
@_ti;1356825;17696
@_t_@;1374521;10009
@_t~@;1384530;20240
@_t~e;1404770;17379
@_t~h;1422149;21761
@_t~h@;1443910;15456
@_t~hi;1459366;21062
@_v@;1480428;17672
@_vai;1498100;5975
@_ve;1504075;16809
@_v_@;1520884;8816
@_v_a;1529700;2752
@_v_e;1532452;6884
@_y;1539336;10700
@_y_a;1550036;7527
a;1557563;5012
aa_~adi;1562575;18568
an_gu;1581143;23130
an_g_u;1604273;12256
a_b;1616529;11943
a_bh;1628472;11977
a_bhe;1640449;20976
a_bhi;1661425;18124
a_bh_ai;1679549;6315
a_bh_i;1685864;9571
a_bh_y_a;1695435;11028
a_b_a;1706463;7180
a_c@;1713643;14080
a_ch;1727723;10811
a_chhi;1738534;22529
a_chi;1761063;9287
a_cho;1770350;8842
a_chu;1779192;18558
a_ch_u;1797750;9642
a_c_e;1807392;9177
a_c_o;1816569;9094
a_c_u;1825663;6725
a_dh@;1832388;9140
a_dh_@;1841528;6940
a_dh_i;1848468;10310
a_di;1858778;7227
a_dj;1866005;9391
a_dj@;1875396;18800
a_djh_a;1894196;7521
a_dju;1901717;17628
a_dj_a;1919345;8497
a_d_@;1927842;6246
a_d_a;1934088;5777
a_d~;1939865;13473
a_d~hi;1953338;21389
a_d~h_a;1974727;7889
a_d~_a;1982616;4577
a_d~_i;1987193;7798
a_g;1994991;6273
a_ge;2001264;17456
a_gh;2018720;10401
a_gh@;2029121;16352
a_gho;2045473;8011
a_ghu;2053484;21294
a_gh_a;2074778;5857
a_gi;2080635;8780
a_gna;2089415;16556
a_g_a;2105971;4695
a_g_n_i;2110666;7800
a_he;2118466;19614
a_hi;2138080;18670
a_h_@;2156750;5767
a_h_a;2162517;4400
a_h_e;2166917;5639
a_h_i;2172556;6863
a_h_yu;2179419;17674
a_j;2197093;11332
a_k;2208425;8783
a_kh;2217208;9405
a_kh@;2226613;15120
a_khi;2241733;19944
a_kho;2261677;18838
a_kh_a;2280515;7680
a_kh_i;2288195;10836
a_kh_o;2299031;10806
a_kh_u;2309837;10294
a_ko;2320131;20450
a_kshi;2340581;26218
a_ku;2366799;15022
a_k_@;2381821;8538
a_k_a;2390359;6045
a_k_k_a;2396404;16912
a_k_o;2413316;11015
a_k_u;2424331;7822
a_l;2432153;13852
a_l@;2446005;13943
a_lai;2459948;5980
a_le;2465928;18640
a_li;2484568;16271
a_l_a;2500839;4606
a_l_i;2505445;8015
a_l_p_e;2513460;11297
a_l_y_@;2524757;12361
a_l~;2537118;11214
a_l~u;2548332;14176
a_l~_a;2562508;7680
a_m;2570188;12896
a_m@N;2583084;16763
a_me;2599847;10165
a_mi;2610012;18887
a_m_@;2628899;7548
a_m_a;2636447;5937
a_m_i;2642384;5809
a_m_r;2648193;24896
a_m_r_u;2673089;7325
a_n;2680414;11265
a_n@;2691679;13744
a_nai;2705423;5377
a_ne;2710800;15288
a_nu;2726088;12914
a_n_@;2739002;5151
a_n_a;2744153;3661
a_n_e;2747814;6044
a_n_i;2753858;9872
a_n_ne;2763730;22522
a_n_o;2786252;6928
a_n_s;2793180;14908
a_n_u;2808088;5335
a_n~;2813423;11904
a_n~@;2825327;17408
a_n~i_i;2842735;6392
a_n~_a;2849127;8353
a_p;2857480;11781
a_phi;2869261;18245
a_pho;2887506;21530
a_ph_a;2909036;8375
a_p_a;2917411;8064
a_p_o;2925475;8321
a_p_u;2933796;8122
a_r;2941918;8383
a_re;2950301;13112
a_ri;2963413;17880
a_ro;2981293;6173
a_r_@;2987466;4610
a_r_a;2992076;5297
a_r_e;2997373;7325
a_r_g_a;3004698;7121
a_r_i;3011819;4873
a_r_n~;3016692;14688
a_r_o;3031380;4910
a_r_pu;3036290;5012
a_r_t_i;3041302;13736
a_r_v;3055038;17850
a_s;3072888;9558
a_she;3082446;31344
a_shu;3113790;18727
a_sh_a;3132517;8010
a_s_@;3140527;9886
a_s_a;3150413;7622
a_s_i;3158035;11676
a_s_to;3169711;23356
a_s_t~;3193067;16047
a_t;3209114;8237
a_t@;3217351;8450
a_th@;3225801;16672
a_thi;3242473;10723
a_ti;3253196;16493
a_to;3269689;20712
a_t_@;3290401;8092
a_t_a;3298493;8285
a_t_i;3306778;6618
a_t_n;3313396;17937
a_t~;3331333;9729
a_t~h;3341062;11225
a_t~h@;3352287;15456
a_t~hi;3367743;19873
a_t~h_a;3387616;7672
a_t~h_o;3395288;10640
a_t~u;3405928;14450
a_t~_a;3420378;7077
a_t~_e;3427455;6891
a_t~_o;3434346;7876
a_v;3442222;12128
a_v@;3454350;16072
a_vi;3470422;16474
a_v_@;3486896;5253
a_v_a;3492149;5294
a_v_e;3497443;7224
a_v_i;3504667;14545
a_x;3519212;14295
a_x_a;3533507;11409
a_y;3544916;7120
a_y@;3552036;17758
a_yo;3569794;19304
a_yu;3589098;9062
a_y_a;3598160;7681
a_~adi;3605841;15965
a_~adi_i;3621806;8167
b@_@;3629973;6089
be;3636062;18048
bh_@;3654110;8179
bh_a;3662289;10147
bh_ai;3672436;9732
bh_e;3682168;10128
bh_i;3692296;10699
bh_o;3702995;11274
bh_ou;3714269;7137
bh_u;3721406;5685
b_@;3727091;6089
b_a;3733180;10337
b_ai;3743517;6135
b_e;3749652;8721
b_i;3758373;8028
b_o;3766401;6485
b_ou;3772886;6649
b_u;3779535;6406
che;3785941;13775
che_e;3799716;7028
chu;3806744;10157
ch_@;3816901;7624
ch_a;3824525;6017
ch_ai;3830542;7501
ch_i;3838043;8079
ch_o;3846122;9713
ch_ou;3855835;7872
ch_u;3863707;6167
c_@;3869874;8192
c_a;3878066;4007
c_ai;3882073;8427
c_e;3890500;6713
c_i;3897213;5209
c_o;3902422;9225
c_u;3911647;7524
dh_@;3919171;11232
dh_a;3930403;8288
dh_ai;3938691;10544
dh_e;3949235;13104
dh_i;3962339;6169
dh_o;3968508;8608
dh_ou;3977116;9457
dj@;3986573;24768
dje;4011341;20585
djh_@;4031926;9281
djh_a;4041207;7296
djh_e;4048503;11512
djh_i;4060015;9240
djo;4069255;10626
dj_@;4079881;9649
dj_a;4089530;7865
dj_ai;4097395;10499
dj_e;4107894;14542
dj_i;4122436;5971
dj_o;4128407;10432
dj_ou;4138839;8218
dj_u;4147057;8393
d_@;4155450;6606
d_a;4162056;6273
d_ai;4168329;9033
d_e;4177362;2791
d_i;4180153;8866
d_o;4189019;9264
d_ou;4198283;7616
d_v_@;4205899;10375
d~h@_@;4216274;9313
d~h_@;4225587;9313
d~h_e;4234900;11064
d~h_i;4245964;10609
d~h_o;4256573;10948
d~h_u;4267521;7992
d~_a;4275513;10348
d~_ai;4285861;8451
d~_e;4294312;8064
d~_i;4302376;9200
d~_o;4311576;5185
d~_u;4316761;7787
e_b;4324548;11491
e_bo;4336039;18416
e_c_a;4354455;7432
e_dj;4361887;11957
e_d~_u;4373844;8720
e_gh_u;4382564;10426
e_k;4392990;16928
e_kai;4409918;8131
e_k_a;4418049;8864
e_k_e;4426913;20680
e_l;4447593;15630
e_l@;4463223;14672
e_m;4477895;22068
e_m_a;4499963;6050
e_n;4506013;15630
e_n@;4521643;15878
e_ne;4537521;7342
e_ni;4544863;18139
e_nu;4563002;17546
e_n_g_a;4580548;4443
e_n_t~_a;4584991;10880
e_n~u;4595871;20180
e_pi;4616051;15552
e_r;4631603;12480
e_ri;4644083;15152
e_r_a;4659235;3864
e_r_ai;4663099;7119
e_r_e;4670218;28968
e_sh;4699186;25046
e_sh_a;4724232;9490
e_s_i;4733722;9157
e_t;4742879;15136
e_ta;4758015;17928
e_thi;4775943;22104
e_tra;4798047;30576
e_t~;4828623;14520
e_t~e;4843143;19912
e_t~ho;4863055;24828
e_v@;4887883;17013
e_vi;4904896;14604
e_vuN;4919500;20714
